code,name,industry
600519,贵州茅台,白酒
000858,五粮液,白酒
000568,泸州老窖,白酒
002304,洋河股份,白酒
600809,山西汾酒,白酒
000799,酒鬼酒,白酒
603369,今世缘,白酒
600559,老白干酒,白酒
000596,古井贡酒,白酒
600702,舍得酒业,白酒
603589,口子窖,白酒
600779,水井坊,白酒
000860,顺鑫农业,白酒
603198,迎驾贡酒,白酒
002714,牧原股份,猪肉
300498,温氏股份,猪肉
002157,正邦科技,猪肉
600975,新五丰,猪肉
603363,傲农生物,猪肉
002567,唐人神,猪肉
001209,华统股份,猪肉
002311,海大集团,猪肉
300474,景嘉微,GPU
688256,寒武纪,GPU
300223,北京君正,GPU
688047,龙芯中科,GPU
002049,紫光国微,GPU
688037,芯原股份,GPU
603019,中科曙光,GPU
300101,振芯科技,GPU
688041,海光信息,GPU
002371,北方华创,GPU
601318,中国平安,保险
600036,招商银行,银行
000333,美的集团,家用电器
300750,宁德时代,电子
600276,恒瑞医药,医药生物
000001,平安银行,银行
600887,伊利股份,食品饮料
000651,格力电器,家用电器
601398,工商银行,银行
600309,万华化学,化工
000002,万  科Ａ,其他
000004,*ST国华,其他
000006,深振业Ａ,其他
000007,全新好,其他
000008,神州高铁,其他
000009,中国宝安,其他
000010,美丽生态,其他
000011,深物业A,其他
000012,南  玻Ａ,其他
000014,沙河股份,其他
000016,深康佳Ａ,其他
000017,深中华A,其他
000019,深粮控股,其他
000020,深华发Ａ,其他
000021,深科技,其他
000025,特  力Ａ,其他
000026,飞亚达,其他
000027,深圳能源,其他
000028,国药一致,其他
000029,深深房Ａ,其他
